FID,time,XCO2Dpp,XCH4Dpp,TempC,SPCScm,ChlARFU,ChlAgL,BGAPCRF,BGAPCL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Pressps,NITRATEU,NITRATEM,ABS254,ABS350,TINT,TSPEC,TLAMP,Temp_ta,SPC_tau,pH_tau,fDOM_QS,ODO_tau,ChlA_ta,Turb_ta,CO2_tau,CH4uM,CH4Sat,CO2uM,CO2Sat,CO2uM_t,CO2St_t
18,10/2/2014 8:35,"1,792.66",171.117,16.216,334.9,1.28,5.16,-0.52,-0.49,3.12,26.55,81.74,60.7,5.96,7.66,-1.097,0,0,0,0,0,0,0,16.215,334.9,7.66,78.27,60.7,5.34,3.035,"1,787.47",0.290784487,"8,959.01",80.60588976,448.165,80.3725245,446.8675
19,10/2/2014 8:35,"1,793.58",170.734,16.215,334.9,1.28,5.17,-0.53,-0.5,3.12,26.54,81.72,60.7,5.96,7.66,-1.098,0,0,0,0,0,0,0,16.215,334.9,7.66,77.76,60.7,5.31,3.025,"1,783.46",0.290133643,"8,938.95",80.64725702,448.395,80.19221724,445.865
20,10/2/2014 8:35,"1,794.16",170.456,16.215,334.9,1.3,5.22,-0.54,-0.5,3.11,26.47,81.5,60.7,5.96,7.66,-1.098,0,0,0,0,0,0,0,16.215,335,7.66,77.58,60.7,5.29,3.04,"1,758.43",0.289661229,"8,924.40",80.67333637,448.54,79.06675819,439.6075
21,10/2/2014 8:35,"1,791.96",170.32,16.215,334.9,1.31,5.26,-0.54,-0.51,3.1,26.42,81.34,60.7,5.96,7.66,-1.099,0,0,0,0,0,0,0,16.215,335.1,7.66,77.68,60.7,5.3,3.045,"1,747.79",0.28943012,"8,917.28",80.57441468,447.99,78.58833692,436.9475
22,10/2/2014 8:35,"1,797.07",170.982,16.215,334.9,1.31,5.27,-0.54,-0.5,3.09,26.31,81,60.7,5.96,7.66,-1.099,0,0,0,0,0,0,0,16.215,335.1,7.66,77.96,60.7,5.31,3.06,"1,779.27",0.290555078,"8,951.94",80.80418279,449.2675,80.00381638,444.8175
23,10/2/2014 8:35,"1,797.81",171.42,16.215,334.9,1.31,5.26,-0.54,-0.5,3.08,26.2,80.68,60.7,5.96,7.66,-1.1,0,0,0,0,0,0,0,16.215,335.1,7.66,78.58,60.7,5.29,3.075,"1,814.82",0.291299385,"8,974.87",80.83745645,449.4525,81.60230097,453.705
24,10/2/2014 8:35,"1,796.53",171.058,16.215,334.9,1.3,5.24,-0.53,-0.5,3.08,26.07,80.27,60.7,5.96,7.66,-1.101,0,0,0,0,0,0,0,16.215,335,7.66,79.19,60.7,5.25,3.105,"1,807.90",0.290684227,"8,955.92",80.77990201,449.1325,81.29114729,451.975
25,10/2/2014 8:35,"1,797.84",171.07,16.215,334.9,1.3,5.25,-0.53,-0.49,3.08,25.93,79.83,60.7,5.96,7.66,-1.102,0,0,0,0,0,0,0,16.215,335,7.66,79.95,60.7,5.26,3.15,"1,790.85",0.290704619,"8,956.54",80.83880538,449.46,80.52450419,447.7125
26,10/2/2014 8:35,"1,795.70",171.318,16.215,335,1.31,5.27,-0.53,-0.5,3.08,25.8,79.44,60.7,5.96,7.66,-1.102,0,0,0,0,0,0,0,16.216,335,7.66,80.47,60.7,5.3,3.145,"1,777.01",0.291120142,"8,969.53",80.74007638,448.925,79.89971773,444.2525
27,10/2/2014 8:35,"1,798.38",170.722,16.215,335,1.32,5.3,-0.54,-0.51,3.07,25.65,79,60.7,5.96,7.66,-1.102,0,0,0,0,0,0,0,16.217,335,7.66,81.05,60.7,5.3,3.095,"1,766.63",0.290101471,"8,938.32",80.85806844,449.595,79.43053718,441.6575
